timestamp,completed
2025-07-01 00:25:27,0
2025-07-01 00:25:28,0
2025-07-01 00:25:29,0
2025-07-01 00:25:30,0
2025-07-01 00:25:31,0
2025-07-01 00:25:32,4
2025-07-01 00:25:33,83
2025-07-01 00:25:34,13
2025-07-01 00:25:35,0
2025-07-01 00:25:36,0
2025-07-01 00:25:37,0
2025-07-01 00:25:38,0
2025-07-01 00:25:39,100
2025-07-01 00:25:40,0
2025-07-01 00:25:41,0
2025-07-01 00:25:42,0
2025-07-01 00:25:43,0
2025-07-01 00:25:44,0
2025-07-01 00:25:45,0
2025-07-01 00:25:46,17
2025-07-01 00:25:47,83
2025-07-01 00:25:48,0
2025-07-01 00:25:49,0
2025-07-01 00:25:50,0
2025-07-01 00:25:51,0
2025-07-01 00:25:52,36
2025-07-01 00:25:53,64
2025-07-01 00:25:54,0
2025-07-01 00:25:55,0
2025-07-01 00:25:56,0
2025-07-01 00:25:57,0
2025-07-01 00:25:58,0
2025-07-01 00:25:59,0
2025-07-01 00:26:00,1
2025-07-01 00:26:01,99
2025-07-01 00:26:02,0
2025-07-01 00:26:03,0
2025-07-01 00:26:04,0
2025-07-01 00:26:05,0
2025-07-01 00:26:06,0
2025-07-01 00:26:07,100
2025-07-01 00:26:08,0
2025-07-01 00:26:09,0
2025-07-01 00:26:10,0
2025-07-01 00:26:11,0
2025-07-01 00:26:12,0
2025-07-01 00:26:13,0
2025-07-01 00:26:14,0
2025-07-01 00:26:15,3
2025-07-01 00:26:16,78
2025-07-01 00:26:17,19
2025-07-01 00:26:18,0
2025-07-01 00:26:19,0
2025-07-01 00:26:20,0
2025-07-01 00:26:21,0
2025-07-01 00:26:22,0
2025-07-01 00:26:23,0
2025-07-01 00:26:24,0
2025-07-01 00:26:25,60
2025-07-01 00:26:26,40
2025-07-01 00:26:27,0
2025-07-01 00:26:28,0
2025-07-01 00:26:29,0
2025-07-01 00:26:30,0
2025-07-01 00:26:31,35
2025-07-01 00:26:32,45
2025-07-01 00:26:33,20
2025-07-01 00:26:34,0
